site_code,site_name,latitude,longitude,start_date,end_date,duration_years,total_rows,missing_sea_level,pct_missing_sea_level,max_sea_level,min_sea_level,mean_sea_level,p95_sea_level,p99_sea_level,missing_total_precip,pct_missing_total_precip,max_total_precip_mm,mean_total_precip_mm,p95_total_precip_mm,p99_total_precip_mm,missing_ground_precip,pct_missing_ground_precip,max_ground_precip,mean_ground_precip,p95_ground_precip,p99_ground_precip,max_wind_speed,mean_wind_speed,p95_wind_speed,p99_wind_speed,sea_level_exceedances,precip_exceedances,joint_exceedances,CPR
1359139,Hudson_River_At_Albany_Ny,42.647889,-73.7475,1987-09-15 20:00:00,2021-04-07 03:00:00,33.55783709787816,294176,6062,2.060671162841292,4.7183,-1.1857,0.6280116530262326,1.5667,1.9187349999999976,0,0.0,133.10660719798759,1.5560215588248085,9.186438069963074,22.012224239759274,171930.0,58.44460459044926,35.1,0.1317319176087561,0.5,2.8,9.005386144163928,2.0744395882757654,4.088559613023087,5.096790854112595,14369,14709,1949,2.712747580511053
763A,Dauphin_Island_AL,30.25,-88.075,1981-03-31 19:00:00,2018-12-31 22:00:00,37.752224503764545,330940,40505,12.239378739348522,3.013,0.274,1.0843976414688314,1.409,1.555,0,0.0,300.1267313957214,2.003541203099776,10.9052423387765,33.4835035311777,8775.0,2.6515380431498157,95.0,0.19161485574162312,0.3,5.1,30.28716661113727,4.101049602150992,7.455418843041416,9.192636470279226,14461,16547,2226,3.078625267962105
8539094,Burlington,40.08,-74.873333,1981-01-01 00:00:00,2021-08-31 22:00:00,40.662559890485966,356471,9627,2.7006404448047667,8.772,0.78,6.403525725673579,7.624,7.851,0,0.0,150.2952947753328,1.571229711170392,9.631074219924951,24.16405529730231,174229.0,48.87606565470964,53.3,0.15201270837677372,0.5,3.6,12.715415994688414,2.7445007992798396,5.245249118665788,6.657052072916829,8229,17824,938,2.2796848181967135
8513388,Moriches_Cgs,40.7867,-72.75,1989-07-18 17:00:00,2014-01-22 17:00:00,24.514715947980836,214897,6458,3.005160611827992,1.84,0.143,0.8709560486150367,1.301,1.4324899999999998,0,0.0,181.0227185487178,1.640382074523199,10.280321437702563,24.61343836784173,9825.0,4.571957728586253,62.0,0.13187807209175312,0.5,3.3,20.410124478760316,4.825711043289998,8.823330791334532,11.00762501493085,694,10745,89,2.564805693419498
8570283,Ocean_City_Inlet,38.328267,-75.091086,1997-12-01 00:00:00,2021-07-31 22:00:00,23.66324435318275,207455,7172,3.457135282350389,4.313,1.707,2.9374689949984556,3.37,3.532,0,0.0,161.9281053542067,1.6062001965464991,9.805282503356189,23.856239140009052,68275.0,32.91075172929069,73.2,0.14990156631699958,0.5,3.6,17.389355833042103,4.2629603100493245,7.947044789032205,9.867157885605476,8663,10373,1382,3.190503733982301
MTB,Middle_River_at_Tracy_Blvd,37.881,-121.456,1987-10-01 09:00:00,2021-06-02 18:00:00,33.67008898015058,295162,6795,2.3021256123755767,3.6454,-0.9205,1.3797736623816184,1.8989,2.1824,0,0.0,59.0017509877611,0.6046913959793908,3.6475613713264408,13.55719858395846,54394.0,18.428523996991483,26.4,0.045441669989367356,0.0,1.3,9.387947411142314,2.1452563137898264,4.21246763498425,5.374895607932282,14332,14759,1762,2.458683440826193
565A,Port_San_Luis_CA,35.177,-120.76,1981-01-01 00:00:00,2018-12-31 22:00:00,37.9958932238193,333095,27933,8.38589591557964,3.743,0.582,2.1556942967997323,2.938,3.173,0,0.0,97.2871780394371,0.6096259414401622,2.45858833191049,16.507006406687825,103862.0,31.18089433945271,27.4,0.03660075120074334,0.0,1.0,12.935882067868132,2.6041731077063925,5.099097565783615,6.582443344677391,15251,16655,1286,1.6864214759524507
8770733,Lynchburg_Landing,29.764861,-95.078861,1996-01-01 00:00:00,2017-08-29 06:00:00,21.659137577002053,189871,24260,12.777096028356095,3.803,0.401,1.687194528331876,2.091,2.288,0,0.0,156.6158771514096,1.4548534775376234,7.9722618684172,26.039718515465683,93635.0,49.31506127844695,84.3,0.1292541252753647,0.2,3.0,19.86530385088696,3.11805174847617,5.922673787724994,7.32039409197596,2512,9494,528,4.203622401811939
9075014,Harbor_Beach_Mi,43.84639,-82.643059,1981-01-01 00:00:00,2021-08-02 03:00:00,40.58316221765914,355756,330,0.09276020643362305,177.73,175.403,176.49420087051206,177.248,177.431,0,0.0,103.6769568918316,1.4066913406129187,7.903967501093149,18.901534378528556,222773.0,62.61960444799245,32.8,0.09470383432468812,0.3,2.3,19.1976001555221,5.457428541536701,9.821748267058931,11.908802967724894,17689,17788,1012,1.1442010532450821
9418767,North_Spit,40.7663,-124.2172,1981-01-01 00:00:00,2021-07-31 22:00:00,40.577686516084874,355727,5028,1.4134434552339294,7.434,3.566,5.604853025220171,6.563,6.829,0,0.0,104.2284881251589,1.719848796676943,10.879659995134693,25.568811957597212,214181.0,60.2093740424539,20.8,0.15273479999434814,1.0,3.3,14.083102023424459,3.6549167480708795,7.390568987125778,9.31194353131719,17466,17787,2302,2.635882144468028
